DimensioneInput,MapReduce,Hive,SparkCore,SparkSQL
100000,14.065,26.462,16.706,48.173
200000,14.122,28.864,15.955,48.401
300000,14.123,32.229,18.021,49.204
400000,14.525,32.355,18.531,51.201
500000,14.606,33.151,20.445,52.662
